issued_year,issn,articles,oa,scopus_asjc_code_sub_subject_area,scopus_sub_subject_area,percentile,snip,sjr,top_level_code,description,subject_area
2015,0031-3203,323,4,1702,Artificial Intelligence,95,3.638,2.323,17,Computer Science,Physical Sciences
2015,0031-3203,323,4,1711,Signal Processing,94,3.638,2.323,17,Computer Science,Physical Sciences
2015,0031-3203,323,4,1712,Software,95,3.638,2.323,17,Computer Science,Physical Sciences
2015,0031-9201,97,5,3101,Physics and Astronomy (miscellaneous),80,1.013,1.269,31,Physics and Astronomy,Physical Sciences
2015,0031-9201,97,5,1912,Space and Planetary Science,64,1.013,1.269,19,Earth and Planetary Sciences,Physical Sciences
2015,0031-9201,97,5,1908,Geophysics,74,1.013,1.269,19,Earth and Planetary Sciences,Physical Sciences
2015,0031-9201,97,5,3103,Astronomy and Astrophysics,66,1.013,1.269,31,Physics and Astronomy,Physical Sciences
2015,0032-3861,932,8,2507,Polymers and Plastics,92,1.255,1.016,25,Materials Science,Physical Sciences
2015,0032-3861,932,8,1605,Organic Chemistry,85,1.255,1.016,16,Chemistry,Physical Sciences
2015,0032-3861,932,8,2505,Materials Chemistry,91,1.255,1.016,25,Materials Science,Physical Sciences
2015,0032-5910,762,5,1500,General Chemical Engineering,87,1.794,0.998,15,Chemical Engineering,Physical Sciences
2015,0033-3506,250,15,2739,"Public Health, Environmental and Occupational Health",72,1.045,0.769,27,Medicine,Health Sciences
2015,0039-6060,464,5,2746,Surgery,93,1.504,1.481,27,Medicine,Health Sciences
2015,0039-6257,62,1,2731,Ophthalmology,94,2.649,2.002,27,Medicine,Health Sciences
2015,0040-4039,1698,19,3002,Drug Discovery,63,0.64,0.582,30,"Pharmacology, Toxicology and Pharmaceutics",Life Sciences
2015,0040-4039,1698,19,1605,Organic Chemistry,66,0.64,0.582,16,Chemistry,Physical Sciences
2015,0040-4039,1698,19,1303,Biochemistry,53,0.64,0.582,13,"Biochemistry, Genetics and Molecular Biology",Life Sciences
2015,0041-0101,277,3,3005,Toxicology,50,0.831,0.522,30,"Pharmacology, Toxicology and Pharmaceutics",Life Sciences
2015,0043-1648,419,8,2505,Materials Chemistry,87,2.458,1.335,25,Materials Science,Physical Sciences
2015,0043-1648,419,8,2211,Mechanics of Materials,85,2.458,1.335,22,Engineering,Physical Sciences
2015,0043-1648,419,8,3104,Condensed Matter Physics,85,2.458,1.335,31,Physics and Astronomy,Physical Sciences
2015,0043-1648,419,8,2508,"Surfaces, Coatings and Films",86,2.458,1.335,25,Materials Science,Physical Sciences
2015,0043-1648,419,8,3110,Surfaces and Interfaces,79,2.458,1.335,31,Physics and Astronomy,Physical Sciences
2015,0044-8486,414,8,1104,Aquatic Science,86,1.501,1.037,11,Agricultural and Biological Sciences,Life Sciences
2015,0047-2352,61,0,3312,Sociology and Political Science,96,2.007,1.72,33,Social Sciences,Social Sciences
2015,0047-2352,61,0,3207,Social Psychology,93,2.007,1.72,32,Psychology,Social Sciences
2015,0047-2352,61,0,3202,Applied Psychology,88,2.007,1.72,32,Psychology,Social Sciences
2015,0047-2352,61,0,3308,Law,97,2.007,1.72,33,Social Sciences,Social Sciences
2015,0047-2484,160,4,1105,"Ecology, Evolution, Behavior and Systematics",89,1.235,1.771,11,Agricultural and Biological Sciences,Life Sciences
2015,0047-2484,160,4,3314,Anthropology,98,1.235,1.771,33,Social Sciences,Social Sciences
2015,0048-9697,1483,58,2305,Environmental Engineering,92,1.977,1.661,23,Environmental Science,Physical Sciences
2015,0048-9697,1483,58,2310,Pollution,89,1.977,1.661,23,Environmental Science,Physical Sciences
2015,0048-9697,1483,58,2311,Waste Management and Disposal,90,1.977,1.661,23,Environmental Science,Physical Sciences
2015,0048-9697,1483,58,2304,Environmental Chemistry,85,1.977,1.661,23,Environmental Science,Physical Sciences
2015,0049-3848,436,17,2720,Hematology,70,0.925,1.035,27,Medicine,Health Sciences
2015,0065-1281,103,4,1307,Cell Biology,26,0.899,0.733,13,"Biochemistry, Genetics and Molecular Biology",Life Sciences
2015,0065-1281,103,4,2722,Histology,54,0.899,0.733,27,Medicine,Health Sciences
2015,0093-691X,415,4,3404,Small Animals,96,1.32,0.874,34,Veterinary,Health Sciences
2015,0093-691X,415,4,1103,Animal Science and Zoology,90,1.32,0.874,11,Agricultural and Biological Sciences,Life Sciences
2015,0093-691X,415,4,3403,Food Animals,88,1.32,0.874,34,Veterinary,Health Sciences
2015,0093-691X,415,4,3402,Equine,92,1.32,0.874,34,Veterinary,Health Sciences
2015,0094-5765,345,7,2202,Aerospace Engineering,88,1.959,1.065,22,Engineering,Physical Sciences
2015,0096-3003,1387,7,2605,Computational Mathematics,91,1.766,0.969,26,Mathematics,Physical Sciences
2015,0096-3003,1387,7,2604,Applied Mathematics,94,1.766,0.969,26,Mathematics,Physical Sciences
2015,0098-1354,217,4,1500,General Chemical Engineering,86,1.543,0.997,15,Chemical Engineering,Physical Sciences
2015,0098-1354,217,4,1706,Computer Science Applications,84,1.543,0.997,17,Computer Science,Physical Sciences
2015,0098-3004,187,8,1903,Computers in Earth Sciences,83,1.655,0.955,19,Earth and Planetary Sciences,Physical Sciences
2015,0098-3004,187,8,1710,Information Systems,80,1.655,0.955,17,Computer Science,Physical Sciences
2015,0098-8472,146,1,1102,Agronomy and Crop Science,92,1.494,1.213,11,Agricultural and Biological Sciences,Life Sciences
2015,0098-8472,146,1,1105,"Ecology, Evolution, Behavior and Systematics",90,1.494,1.213,11,Agricultural and Biological Sciences,Life Sciences
2015,0098-8472,146,1,1110,Plant Science,92,1.494,1.213,11,Agricultural and Biological Sciences,Life Sciences
2015,0099-1767,202,0,2907,Emergency Nursing,52,0.393,0.335,29,Nursing,Health Sciences
2015,0109-5641,332,2,3500,General Dentistry,98,2.194,1.852,35,Dentistry,Health Sciences
2015,0109-5641,332,2,2500,General Materials Science,88,2.194,1.852,25,Materials Science,Physical Sciences
2015,0109-5641,332,2,2211,Mechanics of Materials,94,2.194,1.852,22,Engineering,Physical Sciences
2015,0140-6736,1892,54,2700,General Medicine,99,21.313,14.554,27,Medicine,Health Sciences
