issn,subject_area,top_level
0911-6044,Social Sciences,Arts and Humanities
0924-2716,Physical Sciences,Engineering
0924-2716,Physical Sciences,Computer Science
0924-2716,Physical Sciences,Physics and Astronomy
0924-2716,Physical Sciences,Earth and Planetary Sciences
0929-1393,Life Sciences,Agricultural and Biological Sciences
0929-1393,Physical Sciences,Environmental Science
0955-5986,Physical Sciences,Computer Science
0955-5986,Physical Sciences,Physics and Astronomy
0955-5986,Physical Sciences,Mathematics
0955-5986,Physical Sciences,Engineering
0967-0637,Life Sciences,Agricultural and Biological Sciences
0967-0637,Physical Sciences,Earth and Planetary Sciences
0967-0661,Physical Sciences,Computer Science
0967-0661,Physical Sciences,Engineering
0967-0661,Physical Sciences,Mathematics
0969-5931,Social Sciences,"Business, Management and Accounting"
0969-5931,Social Sciences,"Economics, Econometrics and Finance"
1043-6618,Life Sciences,"Pharmacology, Toxicology and Pharmaceutics"
1366-5545,Social Sciences,"Business, Management and Accounting"
1366-5545,Physical Sciences,Engineering
1366-5545,Social Sciences,Social Sciences
1471-4922,Health Sciences,Medicine
1471-4922,Life Sciences,Immunology and Microbiology
1521-6918,Health Sciences,Medicine
1526-5900,Health Sciences,Medicine
1526-5900,Life Sciences,Neuroscience
1572-3089,Social Sciences,"Economics, Econometrics and Finance"
1574-0137,Physical Sciences,Computer Science
1574-0137,Physical Sciences,Mathematics
1748-0132,Life Sciences,"Pharmacology, Toxicology and Pharmaceutics"
1748-0132,Life Sciences,"Biochemistry, Genetics and Molecular Biology"
1748-0132,Physical Sciences,Materials Science
1748-0132,Physical Sciences,Engineering
1748-0132,Physical Sciences,Chemical Engineering
2212-0416,Physical Sciences,Environmental Science
2212-0416,Social Sciences,Social Sciences
2212-0416,Life Sciences,Agricultural and Biological Sciences
2213-3984,Health Sciences,Medicine
2352-3018,Health Sciences,Medicine
2352-3018,Life Sciences,Immunology and Microbiology
0960-0779,Physical Sciences,Mathematics
0960-0779,Physical Sciences,Physics and Astronomy
1047-8477,Life Sciences,"Biochemistry, Genetics and Molecular Biology"
1094-5539,Health Sciences,Medicine
0022-2496,Social Sciences,Psychology
0022-2496,Physical Sciences,Mathematics
1359-0286,Physical Sciences,Materials Science
1532-0464,Health Sciences,Medicine
1532-0464,Physical Sciences,Computer Science
0957-4158,Physical Sciences,Engineering
0957-4158,Physical Sciences,Computer Science
2405-500X,Health Sciences,Medicine
0022-1236,Physical Sciences,Mathematics
0167-6423,Physical Sciences,Computer Science
0195-6698,Physical Sciences,Mathematics
0003-4266,Health Sciences,Medicine
0003-4266,Life Sciences,"Biochemistry, Genetics and Molecular Biology"
0026-265X,Physical Sciences,Chemistry
0029-5493,Physical Sciences,Engineering
0029-5493,Physical Sciences,Energy
0029-5493,Physical Sciences,Materials Science
0029-5493,Physical Sciences,Physics and Astronomy
0029-5493,Physical Sciences,Environmental Science
0042-6822,Life Sciences,Immunology and Microbiology
0091-7435,Health Sciences,Medicine
0141-0229,Life Sciences,Immunology and Microbiology
0141-0229,Physical Sciences,Chemical Engineering
0141-0229,Life Sciences,"Biochemistry, Genetics and Molecular Biology"
0141-3910,Physical Sciences,Materials Science
0141-3910,Physical Sciences,Engineering
0141-3910,Physical Sciences,Physics and Astronomy
0167-4943,Health Sciences,Medicine
0167-4943,Social Sciences,Social Sciences
0167-4943,Life Sciences,"Biochemistry, Genetics and Molecular Biology"
0167-4943,Health Sciences,Nursing
0195-5616,Health Sciences,Veterinary
0263-8231,Physical Sciences,Engineering
0278-6915,Life Sciences,"Pharmacology, Toxicology and Pharmaceutics"
0278-6915,Life Sciences,Agricultural and Biological Sciences
0313-5926,Social Sciences,"Economics, Econometrics and Finance"
0741-8329,Life Sciences,Neuroscience
0741-8329,Social Sciences,Social Sciences
0741-8329,Life Sciences,"Biochemistry, Genetics and Molecular Biology"
0741-8329,Life Sciences,"Pharmacology, Toxicology and Pharmaceutics"
0749-6036,Physical Sciences,Materials Science
0749-6036,Physical Sciences,Engineering
0749-6036,Physical Sciences,Physics and Astronomy
0885-2308,Physical Sciences,Computer Science
0885-2308,Physical Sciences,Mathematics
0925-9635,Physical Sciences,Engineering
0925-9635,Physical Sciences,Materials Science
0925-9635,Physical Sciences,Chemistry
0947-3580,Physical Sciences,Engineering
0956-053X,Physical Sciences,Environmental Science
0958-6946,Life Sciences,Agricultural and Biological Sciences
0958-6946,Life Sciences,Immunology and Microbiology
0961-9534,Life Sciences,Agricultural and Biological Sciences
0961-9534,Physical Sciences,Environmental Science
0961-9534,Physical Sciences,Energy
0966-9795,Physical Sciences,Engineering
0966-9795,Physical Sciences,Materials Science
0966-9795,Physical Sciences,Chemistry
1043-951X,Social Sciences,"Economics, Econometrics and Finance"
1056-8719,Life Sciences,"Pharmacology, Toxicology and Pharmaceutics"
1078-1439,Health Sciences,Medicine
1093-3263,Physical Sciences,Chemistry
1093-3263,Physical Sciences,Computer Science
1093-3263,Physical Sciences,Materials Science
1226-8615,Life Sciences,Agricultural and Biological Sciences
1286-0115,Health Sciences,Medicine
1296-2074,Social Sciences,"Economics, Econometrics and Finance"
1296-2074,Social Sciences,Arts and Humanities
1296-2074,Physical Sciences,Materials Science
1296-2074,Physical Sciences,Computer Science
1296-2074,Physical Sciences,Chemistry
1350-4487,Physical Sciences,Physics and Astronomy
1355-0306,Health Sciences,Medicine
1367-9120,Physical Sciences,Earth and Planetary Sciences
1472-9792,Life Sciences,Immunology and Microbiology
1472-9792,Health Sciences,Medicine
1532-3382,Health Sciences,Dentistry
1556-407X,Social Sciences,Psychology
1556-407X,Health Sciences,Medicine
1572-1000,Life Sciences,"Biochemistry, Genetics and Molecular Biology"
1572-1000,Health Sciences,Medicine
1574-1818,Physical Sciences,Physics and Astronomy
1616-5047,Life Sciences,Agricultural and Biological Sciences
1872-4973,Health Sciences,Medicine
1872-4973,Life Sciences,"Biochemistry, Genetics and Molecular Biology"
1876-3820,Health Sciences,Medicine
1877-8585,Social Sciences,"Business, Management and Accounting"
1877-8585,Social Sciences,"Economics, Econometrics and Finance"
1877-959X,Life Sciences,Agricultural and Biological Sciences
1877-959X,Life Sciences,Immunology and Microbiology
1877-959X,Health Sciences,Medicine
1879-4068,Health Sciences,Medicine
2095-4964,Health Sciences,Medicine
2152-2650,Health Sciences,Medicine
2152-2650,Life Sciences,"Biochemistry, Genetics and Molecular Biology"
2210-4224,Physical Sciences,Energy
2210-4224,Physical Sciences,Environmental Science
2210-4224,Social Sciences,Social Sciences
2211-9493,Life Sciences,Neuroscience
2211-9493,Social Sciences,Social Sciences
2212-0122,Social Sciences,Social Sciences
2212-0122,Social Sciences,"Economics, Econometrics and Finance"
2212-4926,Life Sciences,"Biochemistry, Genetics and Molecular Biology"
2213-1388,Physical Sciences,Energy
2214-5796,Physical Sciences,Computer Science
2214-5796,Social Sciences,Decision Sciences
2214-5796,Social Sciences,"Business, Management and Accounting"
2352-4677,Physical Sciences,Energy
2352-4677,Physical Sciences,Engineering
2405-8033,Health Sciences,Medicine
2405-8033,Life Sciences,"Biochemistry, Genetics and Molecular Biology"
8756-3282,Life Sciences,"Biochemistry, Genetics and Molecular Biology"
8756-3282,Health Sciences,Medicine
0029-6465,Health Sciences,Nursing
0140-3664,Physical Sciences,Computer Science
1551-7144,Health Sciences,Medicine
0963-8695,Physical Sciences,Engineering
0963-8695,Physical Sciences,Materials Science
0963-8695,Physical Sciences,Physics and Astronomy
0009-2541,Physical Sciences,Earth and Planetary Sciences
0883-2927,Physical Sciences,Environmental Science
0883-2927,Physical Sciences,Earth and Planetary Sciences
1078-5884,Health Sciences,Medicine
0926-2040,Physical Sciences,Physics and Astronomy
0926-2040,Physical Sciences,Chemistry
2405-4712,Health Sciences,Medicine
2405-4712,Life Sciences,"Biochemistry, Genetics and Molecular Biology"
0003-682X,Physical Sciences,Physics and Astronomy
0010-7824,Health Sciences,Medicine
0014-3855,Health Sciences,Medicine
0014-3855,Social Sciences,Arts and Humanities
0020-7403,Physical Sciences,Materials Science
0020-7403,Physical Sciences,Engineering
0020-7403,Physical Sciences,Physics and Astronomy
0020-7462,Physical Sciences,Mathematics
0020-7462,Physical Sciences,Engineering
0022-314X,Physical Sciences,Mathematics
0022-4898,Physical Sciences,Engineering
0024-6301,Social Sciences,"Business, Management and Accounting"
0024-6301,Social Sciences,"Economics, Econometrics and Finance"
0024-6301,Social Sciences,Social Sciences
0034-6667,Life Sciences,Agricultural and Biological Sciences
0034-6667,Physical Sciences,Earth and Planetary Sciences
0091-3022,Life Sciences,Neuroscience
0092-6566,Social Sciences,Psychology
0166-5316,Physical Sciences,Mathematics
0166-5316,Physical Sciences,Computer Science
0167-5877,Life Sciences,Agricultural and Biological Sciences
0167-5877,Health Sciences,Veterinary
0167-9236,Social Sciences,Arts and Humanities
0167-9236,Social Sciences,"Business, Management and Accounting"
0167-9236,Social Sciences,Psychology
0167-9236,Physical Sciences,Computer Science
0167-9236,Social Sciences,Decision Sciences
0210-5691,Health Sciences,Medicine
0266-1144,Physical Sciences,Earth and Planetary Sciences
0266-1144,Physical Sciences,Materials Science
0266-8920,Physical Sciences,Engineering
0266-8920,Physical Sciences,Physics and Astronomy
0266-8920,Physical Sciences,Energy
0278-6125,Physical Sciences,Engineering
0278-6125,Physical Sciences,Computer Science
0303-8467,Health Sciences,Medicine
0304-3479,Social Sciences,Arts and Humanities
0360-1315,Physical Sciences,Computer Science
0360-1315,Social Sciences,Social Sciences
0732-8893,Health Sciences,Medicine
0887-2333,Life Sciences,"Pharmacology, Toxicology and Pharmaceutics"
0893-6080,Life Sciences,Neuroscience
0893-6080,Physical Sciences,Computer Science
0894-1130,Health Sciences,Health Professions
0894-1130,Health Sciences,Medicine
0944-7113,Life Sciences,"Pharmacology, Toxicology and Pharmaceutics"
0944-7113,Life Sciences,"Biochemistry, Genetics and Molecular Biology"
0944-7113,Health Sciences,Medicine
0955-3959,Health Sciences,Medicine
0964-8305,Life Sciences,Immunology and Microbiology
0964-8305,Physical Sciences,Environmental Science
0964-8305,Physical Sciences,Materials Science
1010-6030,Physical Sciences,Chemical Engineering
1010-6030,Physical Sciences,Chemistry
1010-6030,Physical Sciences,Physics and Astronomy
1048-9843,Social Sciences,Social Sciences
1048-9843,Social Sciences,"Business, Management and Accounting"
1048-9843,Social Sciences,Psychology
1053-4296,Health Sciences,Medicine
1053-4296,Life Sciences,"Biochemistry, Genetics and Molecular Biology"
1090-0233,Health Sciences,Veterinary
1090-0233,Life Sciences,Agricultural and Biological Sciences
1361-9209,Physical Sciences,Environmental Science
1361-9209,Physical Sciences,Engineering
1361-9209,Social Sciences,Social Sciences
1367-5931,Life Sciences,"Biochemistry, Genetics and Molecular Biology"
1367-5931,Physical Sciences,Chemistry
1438-4639,Health Sciences,Medicine
1468-1218,Physical Sciences,Engineering
1468-1218,Social Sciences,"Economics, Econometrics and Finance"
1468-1218,Physical Sciences,Mathematics
1473-0502,Health Sciences,Medicine
1477-5131,Health Sciences,Medicine
1526-6125,Physical Sciences,Engineering
1526-6125,Social Sciences,"Business, Management and Accounting"
1526-6125,Social Sciences,Decision Sciences
1551-7136,Health Sciences,Medicine
1734-1140,Life Sciences,"Pharmacology, Toxicology and Pharmaceutics"
1878-8181,Life Sciences,Agricultural and Biological Sciences
1878-8181,Life Sciences,"Biochemistry, Genetics and Molecular Biology"
1878-8181,Physical Sciences,Chemical Engineering
1878-8181,Life Sciences,Immunology and Microbiology
2211-9736,Social Sciences,"Business, Management and Accounting"
2212-1447,Life Sciences,Neuroscience
2212-1447,Social Sciences,"Business, Management and Accounting"
2212-1447,Social Sciences,Psychology
2212-1447,Life Sciences,Agricultural and Biological Sciences
2212-1447,Social Sciences,Social Sciences
2212-4284,Physical Sciences,Environmental Science
2212-4284,Social Sciences,Social Sciences
2405-4577,Health Sciences,Medicine
2405-4577,Health Sciences,Nursing
2214-8043,Social Sciences,Social Sciences
2214-8043,Social Sciences,Psychology
2214-8043,Social Sciences,"Economics, Econometrics and Finance"
2058-5349,Health Sciences,Medicine
0025-3227,Physical Sciences,Earth and Planetary Sciences
0141-9331,Physical Sciences,Computer Science
0160-7383,Social Sciences,Social Sciences
0160-7383,Social Sciences,"Business, Management and Accounting"
0160-791X,Social Sciences,Social Sciences
0160-791X,Social Sciences,"Business, Management and Accounting"
0167-2681,Social Sciences,"Business, Management and Accounting"
0167-2681,Social Sciences,"Economics, Econometrics and Finance"
0193-3973,Social Sciences,Psychology
0198-9715,Physical Sciences,Environmental Science
0198-9715,Social Sciences,Social Sciences
0266-6138,Health Sciences,Nursing
0266-6138,Health Sciences,Medicine
0268-960X,Health Sciences,Medicine
0278-4343,Life Sciences,Agricultural and Biological Sciences
0278-4343,Physical Sciences,Earth and Planetary Sciences
0300-483X,Life Sciences,"Pharmacology, Toxicology and Pharmaceutics"
0301-9322,Physical Sciences,Engineering
0301-9322,Physical Sciences,Chemical Engineering
0301-9322,Physical Sciences,Physics and Astronomy
0303-2647,Physical Sciences,Mathematics
0303-2647,Life Sciences,"Biochemistry, Genetics and Molecular Biology"
0305-0548,Physical Sciences,Mathematics
0305-0548,Physical Sciences,Computer Science
0305-0548,Social Sciences,Decision Sciences
0305-4179,Health Sciences,Medicine
0734-9750,Life Sciences,"Biochemistry, Genetics and Molecular Biology"
0734-9750,Life Sciences,Immunology and Microbiology
0734-9750,Physical Sciences,Chemical Engineering
0749-2081,Health Sciences,Nursing
0889-857X,Health Sciences,Medicine
0890-6955,Physical Sciences,Engineering
1049-3867,Social Sciences,Social Sciences
1049-3867,Health Sciences,Medicine
1049-3867,Health Sciences,Nursing
1120-1797,Health Sciences,Medicine
1120-1797,Life Sciences,"Biochemistry, Genetics and Molecular Biology"
1120-1797,Physical Sciences,Physics and Astronomy
1162-9088,Social Sciences,Psychology
1340-3540,Life Sciences,Agricultural and Biological Sciences
1471-5953,Health Sciences,Nursing
1471-5953,Social Sciences,Social Sciences
1473-8376,Social Sciences,Social Sciences
1473-8376,Social Sciences,"Business, Management and Accounting"
1537-1891,Life Sciences,"Biochemistry, Genetics and Molecular Biology"
1537-1891,Life Sciences,"Pharmacology, Toxicology and Pharmaceutics"
1566-0702,Life Sciences,Neuroscience
1566-0702,Health Sciences,Medicine
1567-7249,Life Sciences,"Biochemistry, Genetics and Molecular Biology"
1568-9883,Life Sciences,Agricultural and Biological Sciences
1569-190X,Physical Sciences,Computer Science
1569-190X,Physical Sciences,Mathematics
1871-403X,Health Sciences,Nursing
1871-403X,Health Sciences,Medicine
1934-5925,Health Sciences,Medicine
2352-4855,Life Sciences,Agricultural and Biological Sciences
2352-4855,Physical Sciences,Environmental Science
0167-8655,Physical Sciences,Computer Science
0959-3780,Physical Sciences,Environmental Science
0959-3780,Social Sciences,Social Sciences
1011-1344,Life Sciences,"Biochemistry, Genetics and Molecular Biology"
1011-1344,Physical Sciences,Physics and Astronomy
1011-1344,Health Sciences,Medicine
1011-1344,Health Sciences,Health Professions
1053-8100,Social Sciences,Psychology
1440-2440,Health Sciences,Medicine
1440-2440,Health Sciences,Health Professions
0379-6779,Physical Sciences,Engineering
0379-6779,Physical Sciences,Physics and Astronomy
0379-6779,Physical Sciences,Materials Science
0095-8956,Physical Sciences,Computer Science
0095-8956,Physical Sciences,Mathematics
1063-5203,Physical Sciences,Mathematics
0001-8791,Social Sciences,"Business, Management and Accounting"
0001-8791,Social Sciences,Psychology
0001-8791,Social Sciences,Social Sciences
0005-7916,Health Sciences,Medicine
0005-7916,Social Sciences,Arts and Humanities
0005-7916,Social Sciences,Psychology
0010-4485,Physical Sciences,Engineering
0010-4485,Physical Sciences,Computer Science
0014-4800,Life Sciences,"Biochemistry, Genetics and Molecular Biology"
0014-4800,Health Sciences,Medicine
0032-0633,Physical Sciences,Physics and Astronomy
0032-0633,Physical Sciences,Earth and Planetary Sciences
0037-0738,Physical Sciences,Earth and Planetary Sciences
0041-008X,Life Sciences,"Pharmacology, Toxicology and Pharmaceutics"
0098-2997,Life Sciences,"Biochemistry, Genetics and Molecular Biology"
0140-9883,Social Sciences,"Economics, Econometrics and Finance"
0140-9883,Physical Sciences,Energy
0165-2427,Life Sciences,Immunology and Microbiology
0165-2427,Health Sciences,Veterinary
0167-7012,Life Sciences,"Biochemistry, Genetics and Molecular Biology"
0167-7012,Health Sciences,Medicine
0167-7012,Life Sciences,Immunology and Microbiology
0167-7799,Life Sciences,"Biochemistry, Genetics and Molecular Biology"
0167-7799,Physical Sciences,Chemical Engineering
0176-2680,Social Sciences,Social Sciences
0176-2680,Social Sciences,"Economics, Econometrics and Finance"
0261-3794,Social Sciences,Social Sciences
0261-5606,Social Sciences,"Economics, Econometrics and Finance"
0267-3649,Social Sciences,"Business, Management and Accounting"
0267-3649,Physical Sciences,Computer Science
0267-3649,Social Sciences,Social Sciences
0267-7261,Life Sciences,Agricultural and Biological Sciences
0267-7261,Physical Sciences,Earth and Planetary Sciences
0267-7261,Physical Sciences,Engineering
0305-7372,Health Sciences,Medicine
0344-0338,Life Sciences,"Biochemistry, Genetics and Molecular Biology"
0344-0338,Health Sciences,Medicine
0377-8398,Physical Sciences,Earth and Planetary Sciences
0765-1597,Health Sciences,Medicine
0890-8508,Life Sciences,"Biochemistry, Genetics and Molecular Biology"
0890-8567,Social Sciences,Psychology
0890-8567,Health Sciences,Medicine
0921-4534,Physical Sciences,Engineering
0921-4534,Physical Sciences,Physics and Astronomy
0921-4534,Physical Sciences,Energy
0921-4534,Physical Sciences,Materials Science
0958-2592,Health Sciences,Medicine
0958-2592,Health Sciences,Health Professions
1051-2004,Physical Sciences,Computer Science
1051-2004,Social Sciences,Decision Sciences
1051-2004,Physical Sciences,Mathematics
1051-2004,Physical Sciences,Engineering
1058-9813,Health Sciences,Medicine
1060-3743,Social Sciences,Social Sciences
1060-3743,Social Sciences,Arts and Humanities
1075-9964,Life Sciences,Immunology and Microbiology
1075-9964,Health Sciences,Medicine
1092-9134,Health Sciences,Medicine
1360-1385,Life Sciences,Agricultural and Biological Sciences
1389-5567,Physical Sciences,Chemistry
1389-5567,Physical Sciences,Chemical Engineering
1526-8209,Life Sciences,"Biochemistry, Genetics and Molecular Biology"
1526-8209,Health Sciences,Medicine
1631-0705,Physical Sciences,Physics and Astronomy
1769-7212,Life Sciences,"Biochemistry, Genetics and Molecular Biology"
1769-7212,Health Sciences,Medicine
1815-5669,Social Sciences,"Business, Management and Accounting"
1874-7787,Life Sciences,Agricultural and Biological Sciences
1874-7787,Life Sciences,"Biochemistry, Genetics and Molecular Biology"
1875-1768,Life Sciences,"Biochemistry, Genetics and Molecular Biology"
1875-1768,Health Sciences,Medicine
1878-7886,Health Sciences,Medicine
1879-6257,Life Sciences,Immunology and Microbiology
1939-8654,Health Sciences,Health Professions
1939-8654,Health Sciences,Medicine
2210-8033,Health Sciences,Medicine
2214-7144,Life Sciences,"Biochemistry, Genetics and Molecular Biology"
2214-7144,Physical Sciences,Engineering
2214-7144,Physical Sciences,Environmental Science
2214-7144,Physical Sciences,Chemical Engineering
2214-790X,Physical Sciences,Environmental Science
2214-790X,Social Sciences,Social Sciences
2214-790X,Physical Sciences,Earth and Planetary Sciences
2352-5568,Health Sciences,Medicine
2352-6734,Social Sciences,"Business, Management and Accounting"
2352-7102,Physical Sciences,Engineering
2352-9407,Physical Sciences,Materials Science
2405-9390,Health Sciences,Veterinary
2405-9390,Life Sciences,Immunology and Microbiology
0167-8809,Life Sciences,Agricultural and Biological Sciences
0167-8809,Physical Sciences,Environmental Science
0261-5614,Health Sciences,Nursing
0261-5614,Health Sciences,Medicine
0268-0033,Health Sciences,Medicine
0268-0033,Life Sciences,"Biochemistry, Genetics and Molecular Biology"
1567-5394,Physical Sciences,Chemistry
1567-5394,Life Sciences,"Biochemistry, Genetics and Molecular Biology"
2352-152X,Physical Sciences,Energy
2352-152X,Physical Sciences,Engineering
0022-4375,Physical Sciences,Engineering
2213-3054,Physical Sciences,Earth and Planetary Sciences
2213-3054,Physical Sciences,Environmental Science
0002-9297,Life Sciences,"Biochemistry, Genetics and Molecular Biology"
0002-9297,Health Sciences,Medicine
0165-232X,Physical Sciences,Earth and Planetary Sciences
0364-5916,Physical Sciences,Chemical Engineering
0364-5916,Physical Sciences,Chemistry
0364-5916,Physical Sciences,Computer Science
1879-7296,Health Sciences,Medicine
2214-4048,Physical Sciences,Earth and Planetary Sciences
2214-4048,Physical Sciences,Physics and Astronomy
0005-2728,Life Sciences,"Biochemistry, Genetics and Molecular Biology"
0888-613X,Physical Sciences,Mathematics
0888-613X,Physical Sciences,Computer Science
0022-2852,Physical Sciences,Chemistry
0022-2852,Physical Sciences,Physics and Astronomy
0045-7906,Physical Sciences,Engineering
0045-7906,Physical Sciences,Computer Science
0147-1767,Social Sciences,"Business, Management and Accounting"
0147-1767,Social Sciences,Psychology
0147-1767,Social Sciences,Social Sciences
0165-4896,Social Sciences,Decision Sciences
0165-4896,Social Sciences,Psychology
0165-4896,Social Sciences,Social Sciences
0195-9255,Social Sciences,Social Sciences
0195-9255,Physical Sciences,Environmental Science
0270-9295,Health Sciences,Medicine
0278-4254,Social Sciences,Social Sciences
0278-4254,Social Sciences,"Business, Management and Accounting"
0294-1449,Physical Sciences,Mathematics
0301-472X,Health Sciences,Medicine
0301-472X,Life Sciences,"Biochemistry, Genetics and Molecular Biology"
0361-9230,Life Sciences,Neuroscience
0742-051X,Social Sciences,Social Sciences
0749-0704,Health Sciences,Medicine
0885-2006,Social Sciences,Social Sciences
0885-2006,Social Sciences,Psychology
0939-4753,Health Sciences,Medicine
0939-4753,Health Sciences,Nursing
0967-0645,Physical Sciences,Earth and Planetary Sciences
1169-8330,Health Sciences,Medicine
1344-6223,Health Sciences,Nursing
1344-6223,Health Sciences,Medicine
1360-8592,Health Sciences,Health Professions
1360-8592,Health Sciences,Medicine
1471-4914,Life Sciences,"Biochemistry, Genetics and Molecular Biology"
1524-0703,Physical Sciences,Mathematics
1524-0703,Physical Sciences,Computer Science
1550-8307,Physical Sciences,Mathematics
1550-8307,Health Sciences,Medicine
1550-8307,Health Sciences,Nursing
1550-8307,Health Sciences,Health Professions
1573-4277,Physical Sciences,Computer Science
1573-4277,Physical Sciences,Engineering
1740-6757,Life Sciences,"Biochemistry, Genetics and Molecular Biology"
1740-6757,Life Sciences,"Pharmacology, Toxicology and Pharmaceutics"
1750-9467,Health Sciences,Medicine
1750-9467,Social Sciences,Psychology
1755-0084,Physical Sciences,Energy
1875-5100,Physical Sciences,Energy
2213-333X,Health Sciences,Medicine
0092-640X,Physical Sciences,Physics and Astronomy
0161-813X,Life Sciences,"Pharmacology, Toxicology and Pharmaceutics"
0161-813X,Life Sciences,Neuroscience
0191-3085,Social Sciences,Psychology
0191-3085,Social Sciences,"Business, Management and Accounting"
1043-0679,Health Sciences,Medicine
1383-7621,Physical Sciences,Computer Science
1532-0456,Life Sciences,Agricultural and Biological Sciences
1532-0456,Life Sciences,"Biochemistry, Genetics and Molecular Biology"
1532-0456,Physical Sciences,Environmental Science
1532-0456,Life Sciences,"Pharmacology, Toxicology and Pharmaceutics"
0749-6419,Physical Sciences,Engineering
0749-6419,Physical Sciences,Materials Science
1631-0721,Physical Sciences,Materials Science
1631-0721,Physical Sciences,Engineering
0893-9659,Physical Sciences,Mathematics
0031-3025,Health Sciences,Medicine
0143-4179,Life Sciences,"Biochemistry, Genetics and Molecular Biology"
0143-4179,Life Sciences,Neuroscience
0191-8141,Physical Sciences,Earth and Planetary Sciences
0308-597X,Life Sciences,Agricultural and Biological Sciences
0308-597X,Physical Sciences,Environmental Science
0308-597X,Social Sciences,Social Sciences
0308-597X,Social Sciences,"Economics, Econometrics and Finance"
0368-2048,Physical Sciences,Chemistry
0368-2048,Physical Sciences,Physics and Astronomy
0368-2048,Physical Sciences,Materials Science
0376-0421,Physical Sciences,Engineering
0733-8627,Health Sciences,Medicine
0743-0167,Social Sciences,Social Sciences
0828-282X,Health Sciences,Medicine
0955-0674,Life Sciences,"Biochemistry, Genetics and Molecular Biology"
1047-2797,Health Sciences,Medicine
1062-9769,Social Sciences,"Economics, Econometrics and Finance"
1293-2558,Physical Sciences,Physics and Astronomy
1293-2558,Physical Sciences,Materials Science
1293-2558,Physical Sciences,Chemistry
1550-7289,Health Sciences,Medicine
1570-8705,Physical Sciences,Computer Science
1775-8785,Health Sciences,Medicine
2405-4569,Health Sciences,Medicine
0309-1708,Physical Sciences,Environmental Science
0897-1897,Health Sciences,Nursing
1350-4533,Physical Sciences,Engineering
1350-4533,Life Sciences,"Biochemistry, Genetics and Molecular Biology"
0925-4773,Health Sciences,Medicine
0925-4773,Life Sciences,"Biochemistry, Genetics and Molecular Biology"
0167-8191,Physical Sciences,Computer Science
0167-8191,Physical Sciences,Mathematics
2352-1546,Life Sciences,Neuroscience
2352-1546,Health Sciences,Medicine
2451-9456,Life Sciences,"Biochemistry, Genetics and Molecular Biology"
2451-9456,Life Sciences,"Pharmacology, Toxicology and Pharmaceutics"
0885-064X,Physical Sciences,Mathematics
0926-2245,Physical Sciences,Mathematics
0926-2245,Physical Sciences,Computer Science
0094-730X,Social Sciences,Social Sciences
0094-730X,Social Sciences,Psychology
0094-730X,Health Sciences,Nursing
0094-730X,Life Sciences,Neuroscience
0094-730X,Social Sciences,Arts and Humanities
0094-730X,Health Sciences,Health Professions
0095-0696,Social Sciences,"Economics, Econometrics and Finance"
0095-0696,Physical Sciences,Environmental Science
0150-9861,Health Sciences,Medicine
0150-9861,Health Sciences,Health Professions
0164-0704,Social Sciences,"Economics, Econometrics and Finance"
0167-4048,Physical Sciences,Computer Science
0167-4048,Social Sciences,Social Sciences
0272-2712,Health Sciences,Medicine
0272-2712,Life Sciences,"Biochemistry, Genetics and Molecular Biology"
0306-4573,Physical Sciences,Engineering
0306-4573,Social Sciences,Social Sciences
0306-4573,Physical Sciences,Computer Science
0306-4573,Social Sciences,Decision Sciences
0308-0161,Physical Sciences,Engineering
0308-0161,Physical Sciences,Materials Science
0378-3758,Physical Sciences,Mathematics
0378-3758,Social Sciences,Decision Sciences
0899-5885,Health Sciences,Nursing
0920-5489,Social Sciences,Social Sciences
0920-5489,Physical Sciences,Computer Science
0928-4680,Health Sciences,Medicine
0939-3889,Health Sciences,Health Professions
0939-3889,Life Sciences,"Biochemistry, Genetics and Molecular Biology"
0939-3889,Health Sciences,Medicine
0952-8180,Health Sciences,Medicine
1053-4822,Social Sciences,"Business, Management and Accounting"
1053-4822,Social Sciences,Psychology
1057-5219,Social Sciences,"Economics, Econometrics and Finance"
1125-7865,Life Sciences,Agricultural and Biological Sciences
1125-7865,Physical Sciences,Environmental Science
1268-7731,Health Sciences,Medicine
1556-3707,Health Sciences,Health Professions
1740-1445,Social Sciences,Psychology
1874-3900,Life Sciences,Agricultural and Biological Sciences
1874-3900,Life Sciences,"Biochemistry, Genetics and Molecular Biology"
2210-7762,Life Sciences,"Biochemistry, Genetics and Molecular Biology"
2211-2669,Health Sciences,Health Professions
2211-2669,Health Sciences,Medicine
2211-2669,Social Sciences,Social Sciences
2451-9022,Life Sciences,Neuroscience
2451-9022,Health Sciences,Medicine
1573-5214,Life Sciences,Agricultural and Biological Sciences
1573-5214,Social Sciences,Social Sciences
1875-2136,Health Sciences,Medicine
0141-1187,Physical Sciences,Engineering
0954-6111,Health Sciences,Medicine
0049-0172,Health Sciences,Medicine
0266-3538,Physical Sciences,Engineering
0266-3538,Physical Sciences,Materials Science
0305-7488,Social Sciences,Social Sciences
0305-7488,Social Sciences,Arts and Humanities
1462-9011,Social Sciences,Social Sciences
1462-9011,Physical Sciences,Environmental Science
2213-4344,Life Sciences,Agricultural and Biological Sciences
2213-4344,Health Sciences,Medicine
2213-4344,Life Sciences,"Pharmacology, Toxicology and Pharmaceutics"
2214-7993,Life Sciences,Agricultural and Biological Sciences
