issn,subject_area,top_level
0377-8401,Life Sciences,Agricultural and Biological Sciences
0378-1119,Life Sciences,"Biochemistry, Genetics and Molecular Biology"
0378-3774,Life Sciences,Agricultural and Biological Sciences
0378-3774,Physical Sciences,Environmental Science
0378-3774,Physical Sciences,Earth and Planetary Sciences
0378-7753,Physical Sciences,Chemistry
0378-7753,Physical Sciences,Engineering
0378-7753,Physical Sciences,Energy
0387-7604,Life Sciences,Neuroscience
0387-7604,Health Sciences,Medicine
0388-0001,Social Sciences,Arts and Humanities
0388-0001,Social Sciences,Social Sciences
0531-5565,Life Sciences,"Biochemistry, Genetics and Molecular Biology"
0720-048X,Health Sciences,Medicine
0731-7085,Physical Sciences,Chemistry
0731-7085,Life Sciences,"Pharmacology, Toxicology and Pharmaceutics"
0731-7085,Life Sciences,"Biochemistry, Genetics and Molecular Biology"
0736-4679,Health Sciences,Medicine
0739-7240,Health Sciences,Veterinary
0739-7240,Life Sciences,Agricultural and Biological Sciences
0739-7240,Life Sciences,"Biochemistry, Genetics and Molecular Biology"
0740-624X,Social Sciences,Social Sciences
0749-596X,Social Sciences,Arts and Humanities
0749-596X,Social Sciences,Psychology
0749-596X,Social Sciences,Social Sciences
0749-596X,Physical Sciences,Computer Science
0749-8063,Health Sciences,Medicine
0755-4982,Health Sciences,Medicine
0761-8425,Health Sciences,Medicine
0882-4010,Life Sciences,Immunology and Microbiology
0882-4010,Health Sciences,Medicine
0883-0355,Social Sciences,Social Sciences
0886-3350,Life Sciences,Neuroscience
0886-3350,Health Sciences,Medicine
0887-8994,Health Sciences,Medicine
0887-8994,Life Sciences,Neuroscience
0890-5096,Health Sciences,Medicine
0890-6238,Life Sciences,"Pharmacology, Toxicology and Pharmaceutics"
0891-4222,Social Sciences,Psychology
0891-5245,Health Sciences,Medicine
0894-1777,Physical Sciences,Chemical Engineering
0894-1777,Physical Sciences,Energy
0894-1777,Physical Sciences,Engineering
0894-7317,Health Sciences,Medicine
0895-6111,Physical Sciences,Computer Science
0895-6111,Health Sciences,Health Professions
0895-6111,Health Sciences,Medicine
0899-7071,Health Sciences,Medicine
0899-9007,Health Sciences,Medicine
0899-9007,Health Sciences,Nursing
0920-1211,Life Sciences,Neuroscience
0920-1211,Health Sciences,Medicine
0920-5861,Physical Sciences,Chemical Engineering
0920-5861,Physical Sciences,Chemistry
0921-4488,Life Sciences,Agricultural and Biological Sciences
0921-4488,Health Sciences,Veterinary
0921-4526,Physical Sciences,Materials Science
0921-4526,Physical Sciences,Engineering
0921-4526,Physical Sciences,Physics and Astronomy
0921-5093,Physical Sciences,Engineering
0921-5093,Physical Sciences,Materials Science
0921-5093,Physical Sciences,Physics and Astronomy
0923-5965,Physical Sciences,Computer Science
0923-5965,Physical Sciences,Engineering
0924-4247,Physical Sciences,Physics and Astronomy
0924-4247,Physical Sciences,Materials Science
0924-4247,Physical Sciences,Engineering
0925-4005,Physical Sciences,Materials Science
0925-4005,Physical Sciences,Physics and Astronomy
0925-4005,Physical Sciences,Engineering
0925-8388,Physical Sciences,Materials Science
0925-8388,Physical Sciences,Engineering
0926-6690,Life Sciences,Agricultural and Biological Sciences
0926-860X,Physical Sciences,Chemical Engineering
0926-9851,Physical Sciences,Earth and Planetary Sciences
0927-0248,Physical Sciences,Energy
0927-0248,Physical Sciences,Materials Science
0928-4931,Physical Sciences,Materials Science
0928-4931,Physical Sciences,Engineering
0928-4931,Physical Sciences,Physics and Astronomy
0946-672X,Life Sciences,"Biochemistry, Genetics and Molecular Biology"
0946-672X,Physical Sciences,Chemistry
0950-0618,Physical Sciences,Engineering
0950-0618,Physical Sciences,Materials Science
0950-3293,Life Sciences,Agricultural and Biological Sciences
0950-3293,Health Sciences,Nursing
0951-8320,Physical Sciences,Engineering
0952-1976,Physical Sciences,Computer Science
0952-1976,Physical Sciences,Engineering
0955-470X,Health Sciences,Medicine
0955-7997,Physical Sciences,Engineering
0955-7997,Physical Sciences,Mathematics
0956-5663,Life Sciences,"Biochemistry, Genetics and Molecular Biology"
0956-5663,Physical Sciences,Chemistry
